currentState,packetSize,interArrivalTime
online video games,[111.76297585],[0.01307777]
online video games,[110.89456364],[0.00712919]
online video games,[115.19418293],[0.00343708]
online video games,[104.08672512],[0.0078482]
online video games,[142.4508186],[0.01055512]
online video games,[114.90375914],[0.00322671]
online video games,[114.13236621],[0.00050059]
online video games,[264.80295138],[0.01157853]
online video games,[140.73767498],[0.00803706]
online video games,[108.68904146],[0.00035028]
online video games,[360.87438532],[0.00020803]
online video games,[133.89511437],[0.00731782]
online video games,[196.21634164],[0.00788545]
online video games,[148.04547268],[0.0008388]
online video games,[95.04197552],[0.00159512]
online video games,[192.69884466],[0.03225407]
online video games,[114.999386],[0.00828452]
online video games,[115.51757472],[0.00610949]
online video games,[126.74493299],[0.00277118]
online video games,[175.16036106],[0.00666062]
online video games,[108.6461015],[0.01679031]
online video games,[114.93124783],[0.01531043]
online video games,[123.55871672],[0.00623715]
online video games,[115.22690472],[0.0059981]
online video games,[116.66738905],[0.00279325]
online video games,[109.09437349],[0.00468316]
online video games,[109.89291966],[0.00209812]
online video games,[112.85570684],[0.00857718]
online video games,[105.30146761],[0.03318026]
online video games,[222.03576314],[0.00183972]
online video games,[362.80025295],[0.00917986]
online video games,[107.00057222],[0.00544245]
online video games,[132.59535086],[0.01113233]
online video games,[270.93641387],[0.02355127]
online video games,[110.53161459],[0.00276314]
online video games,[114.16126563],[0.01211032]
online video games,[103.7477234],[0.00264928]
online video games,[92.84849746],[0.02409307]
online video games,[196.95637127],[0.01420572]
online video games,[113.75637497],[0.00490184]
online video games,[107.7732125],[0.02357195]
online video games,[113.17512509],[0.00655337]
online video games,[461.62783539],[0.00299598]
online video games,[124.18245701],[0.00333479]
online video games,[155.26343276],[0.00703341]
online video games,[100.10872476],[0.01769522]
online video games,[114.99156423],[0.00819876]
online video games,[343.80011186],[0.00039048]
online video games,[106.67770987],[0.00064954]
online video games,[123.76761932],[0.01044066]
online video games,[115.03234437],[0.01233811]
online video games,[85.16626104],[0.01485177]
online video games,[159.7850197],[0.00048046]
online video games,[115.40346406],[0.01124557]
online video games,[114.54430079],[0.00669541]
online video games,[115.75694619],[0.00086142]
online video games,[109.29180916],[0.00474867]
online video games,[150.14746152],[0.00254927]
online video games,[93.46749917],[0.0067968]
online video games,[111.89203023],[0.00987033]
online video games,[114.24873241],[0.00153198]
online video games,[101.13353505],[0.01635784]
online video games,[888.25142384],[0.00289005]
online video games,[109.66965128],[0.00269468]
online video games,[115.53877224],[0.00074067]
online video games,[114.38501546],[0.00557282]
