"No.","Time","Length","Info"
"1","0.000000","200","Application Data"
"2","0.000000","86","443  >  56543 [SYN, ACK] Seq=0 Ack=1 Win=64800 Len=0 MSS=1440 SACK_PERM WS=1024"
"4","0.024264","189","Application Data"
"5","0.024374","74","56494  >  443 [ACK] Seq=1 Ack=242 Win=514 Len=0"
"11","0.064718","189","Application Data"
"16","0.099344","189","Application Data"
"17","0.099484","74","56494  >  443 [ACK] Seq=1 Ack=472 Win=513 Len=0"
"20","0.150769","189","Application Data"
"21","0.150769","363","Application Data"
"22","0.150873","74","56494  >  443 [ACK] Seq=1 Ack=876 Win=511 Len=0"
"31","0.240372","189","Application Data"
"32","0.240372","189","Application Data"
"33","0.240464","74","56494  >  443 [ACK] Seq=1 Ack=1106 Win=510 Len=0"
"34","0.269266","189","Application Data"
"38","0.309910","189","Application Data"
"39","0.310006","74","56494  >  443 [ACK] Seq=1 Ack=1336 Win=510 Len=0"
"51","0.349349","189","Application Data"
"52","0.350718","1394","Application Data"
"53","0.350994","74","56494  >  443 [ACK] Seq=1 Ack=2771 Win=515 Len=0"
"55","0.404634","189","Application Data"
"58","0.429907","189","Application Data"
"59","0.430059","74","56494  >  443 [ACK] Seq=1 Ack=3001 Win=514 Len=0"
"60","0.465795","189","Application Data"
"61","0.510219","189","Application Data"
"62","0.510341","74","56494  >  443 [ACK] Seq=1 Ack=3231 Win=513 Len=0"
"63","0.545461","189","Application Data"
"64","0.565522","363","Application Data"
"65","0.565693","74","56494  >  443 [ACK] Seq=1 Ack=3635 Win=511 Len=0"
"66","0.585045","189","Application Data"
"68","0.629804","189","Application Data"
"69","0.629974","74","56494  >  443 [ACK] Seq=1 Ack=3865 Win=511 Len=0"
"70","0.671354","189","Application Data"
"71","0.671354","99","Application Data"
"72","0.671529","74","56494  >  443 [ACK] Seq=1 Ack=4005 Win=510 Len=0"
"73","0.720316","1292","Initial, DCID=dab486865e459242, PKN: 1, CRYPTO"
"74","0.720509","1292","Initial, DCID=dab486865e459242, PKN: 2, PADDING, PING, PADDING, PING, CRYPTO, PING, CRYPTO, CRYPTO, PING, PING, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO"
"75","0.725414","189","Application Data"
"76","0.760722","456","Application Data"
"77","0.760890","74","56494  >  443 [ACK] Seq=1 Ack=4502 Win=515 Len=0"
"78","0.795272","189","Application Data"
"79","0.795272","1292","Initial, SCID=fab486865e459242, PKN: 1, ACK, PADDING"
"80","0.795272","1292","Initial, SCID=fab486865e459242, PKN: 2, CRYPTO, PADDING"
"81","0.795272","1292","Initial, SCID=fab486865e459242, PKN: 3, CRYPTO, PADDING"
"82","0.796274","1292","Initial, DCID=fab486865e459242, PKN: 3, ACK, PADDING"
"83","0.810180","1292","Handshake, SCID=fab486865e459242"
"84","0.810180","1292","Handshake, SCID=fab486865e459242"
"85","0.810180","1292","Handshake, SCID=fab486865e459242"
"86","0.810961","101","Handshake, DCID=fab486865e459242"
"87","0.818100","102","Handshake, DCID=fab486865e459242"
"89","0.829875","189","Application Data"
"90","0.829974","74","56494  >  443 [ACK] Seq=1 Ack=4732 Win=514 Len=0"
"92","0.860392","294","Protected Payload (KP0)"
"93","0.861971","225","Protected Payload (KP0), DCID=fab486865e459242"
"94","0.862358","1288","Protected Payload (KP0), DCID=fab486865e459242"
"95","0.862416","418","Protected Payload (KP0), DCID=fab486865e459242"
"96","0.869914","189","Application Data"
"103","0.915068","189","Application Data"
"104","0.915419","74","56494  >  443 [ACK] Seq=1 Ack=4962 Win=513 Len=0"
"105","0.930119","1034","Protected Payload (KP0)"
"106","0.930119","183","Protected Payload (KP0)"
"107","0.930119","85","Protected Payload (KP0)"
"108","0.930119","89","Protected Payload (KP0)"
"109","0.931277","93","Protected Payload (KP0), DCID=fab486865e459242"
"110","0.955674","456","Application Data"
"111","0.957108","94","Protected Payload (KP0), DCID=fab486865e459242"
"115","0.969541","378","Application Data"
"116","0.969781","1514","56528  >  443 [ACK] Seq=305 Ack=1 Win=517 Len=1440 [TCP segment of a reassembled PDU]"
"117","0.969781","1514","56528  >  443 [ACK] Seq=1745 Ack=1 Win=517 Len=1440 [TCP segment of a reassembled PDU]"
"118","0.969781","1514","56528  >  443 [ACK] Seq=3185 Ack=1 Win=517 Len=1440 [TCP segment of a reassembled PDU]"
"119","0.969781","1493","Application Data"
"120","0.975713","323","Protected Payload (KP0)"
"121","0.975713","83","Protected Payload (KP0)"
"122","0.976482","97","Protected Payload (KP0), DCID=fab486865e459242"
"123","0.990324","189","Application Data"
"124","0.990450","74","56494  >  443 [ACK] Seq=1 Ack=5459 Win=511 Len=0"
"125","1.013677","94","Protected Payload (KP0), DCID=fab486865e459242"
"127","1.032006","189","Application Data"
"128","1.032006","74","443  >  56528 [ACK] Seq=1 Ack=305 Win=63 Len=0"
"129","1.032006","74","443  >  56528 [ACK] Seq=1 Ack=3185 Win=61 Len=0"
"130","1.055982","74","443  >  56528 [ACK] Seq=1 Ack=6044 Win=62 Len=0"
"131","1.055982","122","Application Data"
"132","1.055982","223","Application Data"
"133","1.056172","74","56528  >  443 [ACK] Seq=6044 Ack=198 Win=516 Len=0"
"134","1.065323","86","Protected Payload (KP0)"
"135","1.076160","74","56494  >  443 [ACK] Seq=1 Ack=5574 Win=511 Len=0"
"136","1.080939","189","Application Data"
"137","1.115649","189","Application Data"
"138","1.116004","74","56494  >  443 [ACK] Seq=1 Ack=5804 Win=510 Len=0"
"140","1.311743","456","Application Data"
"141","1.311743","189","Application Data"
"142","1.311743","230","Application Data"
"143","1.311743","204","Application Data"
"144","1.311743","204","Application Data"
"145","1.312014","74","56494  >  443 [ACK] Seq=1 Ack=6717 Win=515 Len=0"
"146","1.352595","193","Application Data"
"147","1.352687","74","56494  >  443 [ACK] Seq=1 Ack=6836 Win=514 Len=0"
"148","1.365387","1370","Application Data"
"150","1.390512","98","Application Data"
"151","1.391771","74","443  >  56492 [FIN, ACK] Seq=25 Ack=1 Win=63 Len=0"
"152","1.391771","189","Application Data"
"153","1.391890","74","56492  >  443 [ACK] Seq=1 Ack=26 Win=514 Len=0"
"154","1.391957","74","56494  >  443 [ACK] Seq=1 Ack=8247 Win=515 Len=0"
"155","1.405777","113","Application Data"
"156","1.405777","98","Application Data"
"159","1.405939","74","56480  >  443 [ACK] Seq=1 Ack=65 Win=517 Len=0"
"161","1.406335","74","56480  >  443 [FIN, ACK] Seq=1 Ack=65 Win=517 Len=0"
"179","1.430593","189","Application Data"
"181","1.460731","74","443  >  56480 [ACK] Seq=65 Ack=2 Win=63 Len=0"
"182","1.476306","189","Application Data"
"183","1.476399","74","56494  >  443 [ACK] Seq=1 Ack=8477 Win=514 Len=0"
"185","1.512408","189","Application Data"
"188","1.559600","456","Application Data"
"189","1.559717","74","56494  >  443 [ACK] Seq=1 Ack=8974 Win=512 Len=0"
"192","1.595293","189","Application Data"
"193","1.641254","189","Application Data"
"194","1.641388","74","56494  >  443 [ACK] Seq=1 Ack=9204 Win=511 Len=0"
"195","1.681777","189","Application Data"
"196","1.681777","99","Application Data"
"197","1.682220","74","56494  >  443 [ACK] Seq=1 Ack=9344 Win=511 Len=0"
"198","1.711719","189","Application Data"
"199","1.750845","189","Application Data"
"200","1.750943","74","56494  >  443 [ACK] Seq=1 Ack=9574 Win=510 Len=0"
"201","1.761076","113","Application Data"
"202","1.761076","363","Application Data"
