online_video_games,social_networks,video_streaming
6.6360257423816185,3.590175168143994,11.05001779298069
9.650860746816754,0.7338653519921089,92.47906976520483
17.227494603924836,0.6989368545100317,24.820081996293013
3.474220021757694,4.241207138186279,33.676235150387406
21.57235150748223,4.1456871995023175,77.9375604153455
0.7815397476792835,5.779395953777049,26.523196087181496
14.449199845761282,6.137294445875511,36.38965219368478
23.336691703938797,6.69914714951306,31.13173186240052
25.25563399331265,0.9272220493182215,28.246198279172752
1.5503958215514724,7.493110625934323,38.31265438567603
22.933706086818212,10.848381087123272,35.43489236362064
13.212545416646046,29.06800393266051,49.49913369734514
7.473974656317646,3.33660730522746,15.64963981288922
12.267351182135599,8.89130375632417,24.44704706001896
3.517725682642832,11.305365586302793,100.02960064234003
10.108200716481809,1.467829764943775,5.819757123971576
7.5937629901303625,7.398342327047521,31.502482410398336
5.204260409080694,5.646105960915167,6.58914168003681
19.975449670960217,15.268428853476985,18.189798122118084
5.852618774184441,19.242055719580932,47.06663505039142
7.601988266267377,2.4345755012494448,24.84659946443004
10.321528310480494,0.2884402920864022,15.184488336684772
8.566812514844774,17.26828490250382,7.241952818516402
1.361317283720021,6.77588591312068,12.735304373248184
10.24401095807417,/,5.609924972317422
1.2778974083434635,/,43.110910413651986
13.719576233815637,/,27.675447731174938
53.126964216346124,/,25.619410602909632
15.615510993167034,/,45.350038427639966
10.46309174918041,/,74.171556031363
36.1522055344721,/,15.407579222407442
3.4240181556741853,/,23.41342942409294
1.1085336463219129,/,59.86753849543297
11.433111627946499,/,45.09928787964215
/,/,11.990376694838197
/,/,28.992268151720857
/,/,12.68204563917967
/,/,13.435887072900151
/,/,11.196535261117717
/,/,27.406869672556134
/,/,15.01237179675438
/,/,112.6494737921407
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
/,/,/
