packetSize, interArrivalTime
111.76297585,0.01307777
110.89456364,0.00712919
115.19418293,0.00343708
104.08672512,0.0078482
142.4508186,0.01055512
114.90375914,0.00322671
114.13236621,0.00050059
264.80295138,0.01157853
140.73767498,0.00803706
108.68904146,0.00035028
360.87438532,0.00020803
133.89511437,0.00731782
196.21634164,0.00788545
148.04547268,0.0008388
95.04197552,0.00159512
192.69884466,0.03225407
114.999386,0.00828452
115.51757472,0.00610949
126.74493299,0.00277118
175.16036106,0.00666062
108.6461015,0.01679031
114.93124783,0.01531043
123.55871672,0.00623715
115.22690472,0.0059981
116.66738905,0.00279325
109.09437349,0.00468316
109.89291966,0.00209812
112.85570684,0.00857718
105.30146761,0.03318026
222.03576314,0.00183972
362.80025295,0.00917986
107.00057222,0.00544245
132.59535086,0.01113233
270.93641387,0.02355127
110.53161459,0.00276314
114.16126563,0.01211032
103.7477234,0.00264928
92.84849746,0.02409307
196.95637127,0.01420572
113.75637497,0.00490184
107.7732125,0.02357195
113.17512509,0.00655337
461.62783539,0.00299598
124.18245701,0.00333479
155.26343276,0.00703341
100.10872476,0.01769522
114.99156423,0.00819876
343.80011186,0.00039048
106.67770987,0.00064954
123.76761932,0.01044066
115.03234437,0.01233811
85.16626104,0.01485177
159.7850197,0.00048046
115.40346406,0.01124557
114.54430079,0.00669541
115.75694619,0.00086142
109.29180916,0.00474867
150.14746152,0.00254927
93.46749917,0.0067968
111.89203023,0.00987033
114.24873241,0.00153198
101.13353505,0.01635784
888.25142384,0.00289005
109.66965128,0.00269468
115.53877224,0.00074067
114.38501546,0.00557282
123.49389226,0.00636255
68.72595572,0.00032284
142.81096833,0.0039015
68.88505829,0.03443869
116.77415047,0.0028007
115.65984557,0.01526578
109.69279724,0.02650621
104.07886153,0.0111406
114.79556356,0.01542905
129.91001174,0.01215068
202.99243377,0.03732943
114.05191315,0.02237884
106.62257041,0.01064561
144.4286501,0.01997795
110.53164164,0.0045304
146.03666035,0.00471096
116.84833923,0.0021036
123.45726898,0.00688729
123.84039071,0.00028468
184.1443623,0.02065761
118.9401224,0.0233735
99.28880249,0.02747806
420.62337166,0.01116448
328.75729101,0.00033868
113.67770186,0.00122249
535.42994811,0.00488875
116.01386599,0.00020291
115.02882515,0.00553219
98.76882526,0.00425575
106.70501317,0.00656469
122.51275723,0.00028832
66.42303126,0.00326908
326.06955292,0.00151539
755.67206024,0.00285743
124.54208687,0.00674421
138.22331123,0.00774399
115.31307253,0.01892338
135.75387414,0.00104706
115.27015404,0.01129515
111.56958672,0.01615357
112.68713005,0.01419067
113.84880961,0.01474488
116.12629739,0.00714044
112.06358313,0.00058287
198.95769879,0.01534116
99.78223783,0.01791736
111.84731767,0.01071436
121.11251957,0.00972618
115.04223849,0.00024004
112.58772437,0.01328467
393.55122345,0.00350054
167.10275342,0.00774273
95.57913511,0.00141809
117.68611926,0.03119212
122.32556587,0.02106194
115.02381426,0.01232818
115.01872144,0.00173327
141.7963858,0.01546985
63.91373298,0.00440553
111.5925484,0.00315947
108.96612083,0.00444303
107.11249332,0.0242946
134.5758367,0.00866097
183.70954199,0.00344036
113.44220689,0.00936813
245.13798141,0.00188077
88.31218668,0.00275579
163.85737912,0.03122032
196.80513529,0.00083883
107.92739186,0.01725163
112.58606258,0.02409222
144.46589822,0.00237533
192.05527134,0.00114626
170.71032386,0.05332898
115.71064726,0.00363191
295.66783462,0.0007975
125.72520424,0.01751
103.38099474,0.0060514
125.69515692,0.0083981
118.72951407,0.00133715
115.11442763,0.00874552
115.19693297,0.01618052
99.34159539,0.01555073
114.82717369,0.03199362
185.77214399,0.01181263
93.27002255,0.05646116
135.14999168,0.00189286
111.52974397,0.00779101
234.28403553,0.00011598
315.12624882,0.01419286
312.50223555,0.02207221
106.81842796,0.0049879
123.35646446,0.00267776
126.13951434,0.01116516
111.88204361,9.4310462e-06
115.48008726,0.01435155
113.44840123,0.00243649
83.71185862,0.00626199
120.12316603,0.00296429
313.81373509,0.00018146
126.81034697,0.00355095
154.67801549,0.00373785
230.21780288,0.00480935
93.60665956,0.00035419
48.75900725,0.00256032
59.54498101,0.00086739
145.5175159,0.00241805
115.01023309,0.01004505
269.90173628,0.00266153
103.19776257,0.001674
99.33968972,0.02569422
114.90561801,0.03096472
147.90512463,0.01174141
108.23736309,0.00346755
71.53527095,0.02389645
115.216195,0.00572541
126.33877709,0.0065299
209.65705582,0.00025098
93.18977731,0.01743439
115.89728671,0.01934743
143.86007482,0.01901021
116.63327808,0.01109329
412.27785541,0.00032103
115.01974826,0.00985195
133.39623595,0.0086754
101.51501482,0.00086221
119.75809708,0.00140409
254.98078467,0.00118048
145.32389215,0.00112853
110.65032109,0.00909307
191.32162167,0.02506918
106.06966843,0.01039968
143.26339464,0.00114267
115.74938845,0.01286511
111.35530149,0.0039945
121.43893442,0.00389232
179.49101421,0.0005162
114.94169557,0.00165478
56.19267111,0.00147082
138.59123087,0.00767744
108.50793435,0.0010693
117.8335534,0.00735683
84.54867155,0.00013391
114.25076764,0.00466135
121.72658842,0.00013752
113.07145836,0.00078441
116.70727963,0.00203497
145.38015144,0.01625232
106.02672811,0.00535963
82.86892505,0.01139263
111.50759894,0.00098479
150.94683769,0.0032643
71.72517304,0.00587994
100.02216913,0.00934251
144.34107257,0.00405042
161.08352414,0.00570732
115.05008923,0.00603979
193.76948152,0.0010456
110.67334747,0.00664944
84.2759145,4.9575808e-05
118.80689285,0.00124089
114.87977178,0.01133304
1226.99354663,0.00025169
115.21509656,0.01124041
126.63262606,0.00017285
116.15039213,0.01149095
145.95673111,0.00355314
116.15935046,0.09787714
113.78973524,0.03321832
109.50830065,0.00396035
115.68836729,0.00204281
116.64619416,0.00046822
71.62008718,0.01966958
129.15554262,0.0144408
120.44331275,0.01544114
115.22714644,0.00087775
59.20369466,0.0050536
198.4798788,0.00501238
115.47166017,0.00147166
110.7335951,0.00387883
162.60264619,0.00248592
70.2902512,0.00266621
113.00642138,0.01038933
117.62130508,0.00514226
250.68957506,0.01243645
113.98471283,0.02934682
122.4739185,0.01112373
87.74943406,0.00488885
116.71931915,0.00230254
134.83897202,0.00260197
119.94320121,0.00652745
111.4914204,0.006824
2184.36706553,0.00285699
379.79917105,0.00499789
107.80957408,0.00579957
170.40362832,0.00531351
102.41275982,0.00354722
97.33223813,0.00290986
834.1422735,0.00081246
195.35853222,0.026123
131.93182029,0.00508107
114.67164345,0.00442179
120.57734247,0.02961236
114.5884773,0.00120986
119.60682298,0.03305029
113.79350298,0.00584855
323.48992887,0.00932135
46.69578733,0.0088011
227.37798663,0.00200412
124.43868328,0.00287806
101.82364835,0.01752832
207.06986265,0.01000659
114.97769499,0.0143266
110.84330947,0.00016664
412.35246359,0.01326004
94.54795578,0.01078803
133.02969804,0.00714876
216.62379988,0.00317659
51.17858721,0.00323071
219.54842176,0.00073388
209.01506789,0.00278909
83.62843311,0.00390503
108.40152796,0.00161976
174.86821488,0.01698303
136.71983317,0.00597677
117.19943098,0.00854452
116.75164008,0.00060407
618.20459003,0.02136106
97.97605402,0.00353785
111.01212976,0.00369395
118.63610858,0.00688271
123.64833047,0.00287784
124.35787016,0.00192134
117.19992368,0.00031693
119.64030444,0.0015089
97.21735758,0.00491723
49.94590822,0.00479054
80.87460644,0.0075932
113.85185385,0.00908526
139.52876437,0.00031654
134.0199586,0.01168554
107.37240472,0.0011088
163.83741199,0.00342487
122.99744807,0.00237098
106.85902769,0.0087575
129.56087288,0.00816327
105.34530576,0.00551121
81.68351052,0.02145205
153.13774195,0.01107195
115.97973482,0.00921374
118.52984186,0.00630083
115.46920559,0.00035105
114.56389972,0.00160036
135.26860965,0.00040359
112.76888579,0.0008478
120.73171923,0.0045159
118.02067053,0.01288293
112.26327612,0.00116196
61.88409264,0.00928141
122.49225878,0.00087372
180.8984188,0.03071861
376.63490151,0.00316478
99.05323989,0.00694992
128.92246934,0.0013195
566.30621357,0.03976193
75.37567292,0.00038595
108.92054418,0.02664543
59.18942797,0.00186845
111.71416195,0.00453246
143.31062242,0.00815652
130.11614093,0.00937212
